Rank,Previous Rank,Player,Position,Team,Price,Shirt points,Shirt count,Sprint points,Sprint count,Climb points,Climb count,Placement points,Placement count,Bought,Sold,Points
117,117,Andrey Amador,support,Team INEOS,4.8,0.00,0,0.00,0,0.00,0,28.00,4,72,119,28.00
117,117,Joris Nieuwenhuis,youth,Team Sunweb,4.8,0.00,0,0.00,0,0.00,0,28.00,4,237,546,28.00
117,117,Marco Haller,support,Bahrain McLaren,4.6,0.00,0,0.00,0,0.00,0,28.00,4,80,123,28.00
117,117,Diego Rosa,support,Team Arkéa Samsic,4.6,0.00,0,0.00,0,0.00,0,28.00,4,27,55,28.00
117,117,José Joaquín Rojas,support,Movistar Team,4.3,0.00,0,0.00,0,0.00,0,28.00,4,100,110,28.00
117,117,Dayer Quintana,support,Team Arkéa Samsic,3.5,0.00,0,0.00,0,0.00,0,28.00,4,109,169,28.00
130,130,Warren Barguil,climber,Team Arkéa Samsic,7.8,0.00,0,0.00,0,0.00,0,27.00,4,590,1022,27.00
130,130,Søren Kragh Andersen,tempo,Team Sunweb,6.6,0.00,0,0.00,0,0.00,0,27.00,4,197,400,27.00
130,130,Jesús Herrada,climber,Cofidis -  Solutions Crédits,6.5,0.00,0,0.00,0,0.00,0,27.00,4,820,652,27.00
130,130,Gorka Izagirre,climber,Astana Pro Team,6.5,0.00,0,0.00,0,0.00,0,27.00,4,173,310,27.00
130,130,Pierre Rolland,climber,B&B Hotels - Vital Concept p/b KTM,6.2,0.00,0,0.00,0,0.00,0,27.00,4,461,595,27.00
130,130,Nelson Oliveira,tempo,Movistar Team,5.6,0.00,0,0.00,0,0.00,0,27.00,4,182,206,27.00
136,136,Emanuel Buchmann,captain,BORA - Hansgrohe,10,0.00,0,0.00,0,0.00,0,26.00,4,267,863,26.00
137,137,Lennard Kamna,youth,BORA - Hansgrohe,7.5,0.00,0,0.00,0,0.00,0,24.00,4,964,1451,24.00
137,137,Mikel Nieve,climber,Mitchelton - Scott,6.8,0.00,0,0.00,0,0.00,0,24.00,4,155,483,24.00
137,137,Pello Bilbao,climber,Bahrain McLaren,6.5,0.00,0,0.00,0,0.00,0,24.00,4,98,260,24.00
137,137,Felix Großschartner,climber,BORA - Hansgrohe,6,0.00,0,0.00,0,0.00,0,24.00,4,99,236,24.00
137,137,Kenny Elissonde,climber,Trek - Segafredo,6,0.00,0,0.00,0,0.00,0,24.00,4,193,245,24.00
137,137,Cyril Barthe,youth,B&B Hotels - Vital Concept p/b KTM,5.6,0.00,0,0.00,0,0.00,0,24.00,4,141,525,24.00
137,137,Sébastien Reichenbach,climber,Groupama - FDJ,5.5,0.00,0,0.00,0,0.00,0,24.00,4,227,346,24.00
137,137,Romain Sicard,climber,Team Total Direct Energie,5.4,0.00,0,0.00,0,0.00,0,24.00,4,1467,2013,24.00
137,137,Matej Mohoric,support,Bahrain McLaren,5.3,0.00,0,0.00,0,0.00,0,24.00,4,1506,1711,24.00
137,137,Dylan van Baarle,support,Team INEOS,4.9,0.00,0,0.00,0,0.00,0,24.00,4,95,217,24.00
137,137,Casper Pedersen,youth,Team Sunweb,4.9,0.00,0,0.00,0,0.00,0,24.00,4,1242,2563,24.00
137,137,Nikias Arndt,support,Team Sunweb,4.8,0.00,0,0.00,0,0.00,0,24.00,4,207,378,24.00
137,137,Harold Tejada,youth,Astana Pro Team,4.5,0.00,0,0.00,0,0.00,0,24.00,4,348,441,24.00
137,137,Carlos Verona,support,Movistar Team,4,0.00,0,0.00,0,0.00,0,24.00,4,52,92,24.00
137,137,Dario Cataldo,support,Movistar Team,3.7,0.00,0,0.00,0,0.00,0,24.00,4,96,99,24.00
137,137,Imanol Erviti,support,Movistar Team,3.6,0.00,0,0.00,0,0.00,0,24.00,4,52,105,24.00
137,137,Kevin Ledanois,youth,Team Arkéa Samsic,3.6,0.00,0,0.00,0,0.00,0,24.00,4,1824,1374,24.00
137,137,Pierre-Luc Périchon,support,Cofidis -  Solutions Crédits,3.6,0.00,0,0.00,0,0.00,0,24.00,4,160,216,24.00
137,137,Matthieu Ladagnous,support,Groupama - FDJ,3.4,0.00,0,0.00,0,0.00,0,24.00,4,269,260,24.00
156,156,Ion Izagirre,climber,Astana Pro Team,6.8,0.00,0,0.00,0,0.00,0,21.00,4,144,420,21.00
156,156,Stefan Küng,tempo,Groupama - FDJ,6.6,0.00,0,0.00,0,0.00,0,21.00,4,160,593,21.00
156,156,Jonathan Castroviejo,tempo,Team INEOS,6.2,0.00,0,0.00,0,0.00,0,21.00,4,84,257,21.00
156,156,Tejay van Garderen,climber,EF Pro Cycling,6.1,0.00,0,0.00,0,0.00,0,21.00,4,282,529,21.00
156,156,Winner Anacona,climber,Team Arkéa Samsic,5.5,0.00,0,0.00,0,0.00,0,21.00,4,143,285,21.00
156,156,Nans Peters,climber,AG2R La Mondiale,5.4,0.00,0,0.00,0,0.00,0,21.00,4,239,461,21.00
162,162,EF Pro Cycling,manager,EF Pro Cycling,8.5,0.00,0,0.00,0,0.00,0,20.00,1,210,218,20.00
162,162,Daryl Impey,support,Mitchelton - Scott,7,0.00,0,0.00,0,0.00,0,20.00,4,992,1029,20.00
162,162,Alessandro De Marchi,support,CCC Team,5.8,0.00,0,0.00,0,0.00,0,20.00,4,1910,1111,20.00
162,162,Lilian Calmejane,support,Team Total Direct Energie,5.6,0.00,0,0.00,0,0.00,0,20.00,4,923,1078,20.00
162,162,Jens Keukeleire,support,EF Pro Cycling,5.3,0.00,0,0.00,0,0.00,0,20.00,4,395,408,20.00
162,162,Maxime Chevalier,youth,B&B Hotels - Vital Concept p/b KTM,4.5,0.00,0,0.00,0,0.00,0,20.00,4,1541,3196,20.00
162,162,Kévin Reza,support,B&B Hotels - Vital Concept p/b KTM,3.6,0.00,0,0.00,0,0.00,0,20.00,4,88,122,20.00
169,169,Domenico Pozzovivo,captain,NTT Pro Cycling,8,0.00,0,0.00,0,0.00,0,18.00,4,2802,3058,18.00
169,169,Ben Hermans,climber,Israel Start-Up Nation,6.2,0.00,0,0.00,0,0.00,0,18.00,4,115,198,18.00
171,171,Pavel Sivakov,youth,Team INEOS,8.2,0.00,0,0.00,0,0.00,0,16.00,4,218,921,16.00
171,171,Christophe Laporte,sprinter,Cofidis -  Solutions Crédits,7.4,0.00,0,0.00,0,0.00,0,16.00,4,187,522,16.00
171,171,Simone Consonni,sprinter,Cofidis -  Solutions Crédits,7.2,0.00,0,0.00,0,0.00,0,16.00,4,24,118,16.00
171,171,Guy Niv,support,Israel Start-Up Nation,4.3,0.00,0,0.00,0,0.00,0,16.00,4,22,32,16.00
171,171,Luke Rowe,support,Team INEOS,3.8,0.00,0,0.00,0,0.00,0,16.00,4,419,648,16.00
171,171,William Bonnet,support,Groupama - FDJ,3.5,0.00,0,0.00,0,0.00,0,16.00,4,244,390,16.00
177,177,Roman Kreuziger,climber,NTT Pro Cycling,6.2,0.00,0,0.00,0,0.00,0,15.00,4,186,392,15.00
177,177,Michael Valgren,tempo,NTT Pro Cycling,5.5,0.00,0,0.00,0,0.00,0,15.00,4,788,1036,15.00
177,177,Sam Bewley,tempo,Mitchelton - Scott,4.5,0.00,0,0.00,0,0.00,0,15.00,4,1283,943,15.00
180,180,Ryan Gibbons,sprinter,NTT Pro Cycling,6,0.00,0,0.00,0,0.00,0,14.00,4,261,424,14.00
181,181,Ilnur Zakarin,captain,CCC Team,8.2,0.00,0,0.00,0,0.00,0,12.00,4,1515,1647,12.00
181,181,Wout Poels,climber,Bahrain McLaren,7.2,0.00,0,0.00,0,0.00,0,12.00,4,183,646,12.00
181,181,Jan Hirt,climber,CCC Team,7.2,0.00,0,0.00,0,0.00,0,12.00,4,247,357,12.00
184,184,Sonny Colbrelli,sprinter,Bahrain McLaren,9.1,0.00,0,2.00,1,0.00,0,8.00,4,330,868,10.00
184,184,Daniel Martin,captain,Israel Start-Up Nation,8.4,0.00,0,0.00,0,0.00,0,10.00,4,2602,3894,10.00
184,184,Edvald Boasson Hagen,sprinter,NTT Pro Cycling,6,0.00,0,0.00,0,0.00,0,10.00,4,1907,2757,10.00
187,187,André Greipel,sprinter,Israel Start-Up Nation,7,0.00,0,0.00,0,0.00,0,8.00,4,238,799,8.00
188,188,Philippe Gilbert,support,Lotto Soudal,7.2,0.00,0,0.00,0,0.00,0,4.00,1,342,1777,4.00
188,188,Rafael Valls,support,Bahrain McLaren,4.8,0.00,0,0.00,0,0.00,0,4.00,1,4,34,4.00
